time,sigma_x,sigma_y,sigma_z,sigma_roll,sigma_pitch,sigma_yaw,sigma_vx,sigma_vy,sigma_vz
1244086105.865000,1.713899,0.997470,1.944272,0.635740,3.885451,3.628085,0.120110,0.069474,0.075775
1244086105.885000,1.715383,0.998004,1.945307,0.633679,3.895541,3.627298,0.116814,0.058472,0.109399
1244086105.905000,1.716747,0.998277,1.946223,0.649035,3.914664,3.629401,0.118731,0.053646,0.135576
1244086105.925000,1.718278,0.998498,1.947223,0.652792,3.914785,3.630649,0.127031,0.061629,0.120387
1244086118.045000,1.612335,0.959516,1.795653,0.589496,3.891811,3.612542,0.118319,0.066119,0.195144
1244086118.065000,1.537789,0.932293,1.686422,0.548202,3.872411,3.600225,0.112923,0.068141,0.236595
1244086118.085000,1.482385,0.912195,1.603211,0.513471,3.862190,3.590063,0.107493,0.071106,0.244378
1244086118.105000,1.439571,0.896623,1.537292,0.486558,3.852086,3.583113,0.103695,0.072124,0.254466
1244086118.125000,1.405472,0.884132,1.483538,0.464800,3.842055,3.577504,0.100578,0.074814,0.266549
1244086118.145000,1.377695,0.873863,1.438672,0.445986,3.836561,3.573041,0.096961,0.078774,0.263794
1244086118.165000,1.354670,0.865263,1.400426,0.430309,3.828249,3.569150,0.094927,0.076887,0.269442
1244086118.185000,1.335347,0.857922,1.367330,0.416100,3.820738,3.565691,0.093251,0.076298,0.268773
1244086118.205000,1.318882,0.851564,1.338293,0.403010,3.817034,3.562987,0.091358,0.079352,0.271366
1244086118.225000,1.304674,0.845940,1.312626,0.393618,3.812719,3.561421,0.091768,0.082456,0.277554
1244086118.245000,1.292315,0.840944,1.289689,0.383382,3.811839,3.559913,0.091645,0.083321,0.277448
1244086118.265000,1.281480,0.836461,1.269004,0.373658,3.810892,3.558423,0.091724,0.085270,0.277706
1244086118.285000,1.271971,0.832413,1.250178,0.365017,3.809586,3.557363,0.092988,0.087809,0.279522
1244086118.305000,1.263524,0.828713,1.232956,0.356476,3.808961,3.556273,0.092238,0.088549,0.279717
1244086118.325000,1.255998,0.825308,1.217071,0.349564,3.808593,3.555480,0.093518,0.091009,0.282466
1244086118.345000,1.249253,0.822155,1.202334,0.343144,3.807655,3.554734,0.093304,0.091224,0.284238
1244086118.365000,1.243227,0.819245,1.188548,0.336634,3.807394,3.553989,0.091744,0.093613,0.283200
1244086118.385000,1.237791,0.816536,1.175620,0.331022,3.807057,3.553446,0.093423,0.094491,0.290631
1244086118.405000,1.232867,0.813978,1.163466,0.325238,3.806572,3.552698,0.094498,0.096007,0.295186
1244086118.425000,1.228399,0.811592,1.151970,0.320107,3.806261,3.551810,0.094539,0.096044,0.297671
1244086118.445000,1.224345,0.809323,1.141062,0.315630,3.805728,3.551082,0.094162,0.096204,0.300830
1244086118.465000,1.220683,0.807192,1.130658,0.311286,3.804167,3.550106,0.095259,0.096448,0.303363
1244086118.485000,1.217343,0.805154,1.120720,0.308482,3.803888,3.549534,0.095919,0.096363,0.307659
1244086118.505000,1.214295,0.803195,1.111220,0.306190,3.802656,3.548904,0.096803,0.096171,0.311720
1244086118.525000,1.211504,0.801339,1.102094,0.303174,3.802172,3.548168,0.097110,0.095056,0.314781
1244086118.545000,1.208945,0.799552,1.093337,0.300356,3.801342,3.547370,0.096858,0.095126,0.315935
1244086118.565000,1.206620,0.797851,1.084882,0.297365,3.801375,3.546635,0.096299,0.094882,0.313769
1244086118.585000,1.204477,0.796205,1.076747,0.295406,3.801664,3.546185,0.096638,0.095160,0.316754
1244086118.605000,1.202490,0.794622,1.068893,0.292879,3.802380,3.545210,0.095781,0.093973,0.318010
1244086118.625000,1.200650,0.793083,1.061287,0.291012,3.802465,3.544500,0.095664,0.093900,0.321162
1244086118.645000,1.198923,0.791600,1.053935,0.288738,3.803494,3.543638,0.094396,0.092930,0.320122
1244086118.665000,1.197317,0.790145,1.046776,0.287216,3.804486,3.543138,0.093461,0.092797,0.320435
1244086118.685000,1.195857,0.788753,1.039778,0.285561,3.803711,3.542728,0.093963,0.093171,0.325933
1244086118.705000,1.194485,0.787400,1.032954,0.283533,3.804535,3.542361,0.093402,0.092967,0.328162
1244086118.725000,1.193196,0.786078,1.026296,0.281560,3.805320,3.542053,0.092626,0.093344,0.329367
1244086118.745000,1.191981,0.784787,1.019783,0.279333,3.805949,3.541790,0.091834,0.094377,0.331687
1244086118.765000,1.190865,0.783546,1.013384,0.277519,3.806007,3.541572,0.090709,0.093750,0.333391
1244086118.785000,1.189831,0.782325,1.007105,0.276417,3.806206,3.541485,0.090771,0.093234,0.336596
1244086118.805000,1.188874,0.781140,1.000931,0.275454,3.806164,3.541430,0.090588,0.092281,0.341535
1244086118.825000,1.187993,0.779979,0.994832,0.274679,3.805024,3.541460,0.090863,0.092216,0.350752
1244086118.845000,1.187198,0.778852,0.988790,0.273330,3.803793,3.541423,0.091026,0.091305,0.359920
1244086118.865000,1.186478,0.777747,0.982821,0.272466,3.801522,3.541557,0.092328,0.090702,0.364846
1244086223.096000,1.235050,0.769439,0.981090,0.281481,3.800596,3.538112,0.108494,0.090119,0.360957
1244086223.116000,1.279607,0.761389,0.979394,0.289011,3.800381,3.534775,0.126357,0.089575,0.357267
1244086223.136000,1.320657,0.753583,0.977752,0.296816,3.799600,3.531798,0.136188,0.089014,0.353747
1244086223.156000,1.358682,0.746010,0.976156,0.303005,3.799019,3.528839,0.142952,0.088122,0.350489
1244086223.176000,1.394059,0.738660,0.974634,0.308994,3.798172,3.525849,0.152858,0.088186,0.347381
1244086223.196000,1.427116,0.731523,0.973169,0.315735,3.797918,3.523018,0.160482,0.087540,0.344027
1244086223.216000,1.458019,0.724590,0.971778,0.323084,3.797268,3.520704,0.167396,0.086851,0.340800
1244086223.236000,1.486997,0.717851,0.970471,0.331116,3.796632,3.518505,0.172799,0.086442,0.337928
1244086223.256000,1.514236,0.711299,0.969251,0.338259,3.795617,3.516318,0.176995,0.086074,0.334933
1244086223.276000,1.539883,0.704926,0.968094,0.344975,3.794493,3.514309,0.181191,0.085699,0.332246
1244086223.296000,1.564116,0.698726,0.967026,0.351625,3.793469,3.512576,0.186024,0.084981,0.329390
1244086223.316000,1.587002,0.692690,0.966035,0.358369,3.791796,3.511072,0.189551,0.084891,0.327318
1244086223.336000,1.608666,0.686814,0.965082,0.363740,3.791072,3.509442,0.193465,0.084478,0.324590
1244086223.356000,1.629196,0.681091,0.964187,0.368572,3.790099,3.507815,0.196762,0.084136,0.321891
1244086223.376000,1.648665,0.675516,0.963314,0.373968,3.789358,3.506465,0.200976,0.083577,0.319253
1244086223.396000,1.667201,0.670083,0.962490,0.378891,3.788940,3.505263,0.204496,0.082951,0.316771
1244086223.416000,1.684825,0.664788,0.961694,0.383522,3.788447,3.504124,0.206797,0.082407,0.314247
1244086223.436000,1.701605,0.659627,0.960902,0.386416,3.788254,3.502864,0.209693,0.082050,0.311788
1244086223.456000,1.717596,0.654595,0.960117,0.389277,3.788575,3.501891,0.212521,0.081439,0.309382
1244086223.476000,1.732838,0.649688,0.959337,0.392988,3.788953,3.501077,0.214823,0.080914,0.307031
1244086223.496000,1.747424,0.644901,0.958590,0.396522,3.789307,3.500301,0.216390,0.080308,0.304738
1244086223.516000,1.761362,0.640231,0.957858,0.399968,3.789864,3.499494,0.218553,0.079825,0.302498
1244086223.536000,1.774682,0.635674,0.957139,0.403341,3.790356,3.498686,0.221904,0.079259,0.300321
1244086223.556000,1.787417,0.631226,0.956426,0.407988,3.791147,3.498138,0.224097,0.078705,0.298204
1244086223.576000,1.799597,0.626885,0.955761,0.411649,3.791116,3.497578,0.225697,0.078155,0.296218
1244086223.596000,1.811264,0.622646,0.955119,0.414695,3.791234,3.496840,0.227130,0.077642,0.294477
1244086223.616000,1.822444,0.618507,0.954510,0.417891,3.791393,3.496158,0.229550,0.077130,0.292456
1244086563.522000,2.143323,0.614410,0.970904,0.416209,3.793715,3.485558,0.239211,0.100125,0.291216
1244086563.542000,2.415855,0.610412,0.986674,0.414706,3.796005,3.475245,0.249006,0.118104,0.290235
1244086563.562000,2.655192,0.606511,1.001883,0.413184,3.798190,3.465177,0.257315,0.133083,0.289190
1244086563.582000,2.869844,0.602706,1.016554,0.411860,3.800353,3.455358,0.265927,0.147071,0.288397
1244086563.602000,3.065182,0.598996,1.030728,0.410582,3.802428,3.445789,0.273178,0.158984,0.287266
1244086563.622000,3.244801,0.595376,1.044422,0.409343,3.804528,3.436448,0.280125,0.169882,0.286474
1244086563.642000,3.411363,0.591849,1.057676,0.408154,3.806542,3.427286,0.286595,0.180050,0.285368
1244086563.662000,3.566827,0.588412,1.070524,0.406959,3.808411,3.418351,0.292989,0.189230,0.284569
1244086563.682000,3.712709,0.585066,1.082981,0.405830,3.810278,3.409567,0.298717,0.198364,0.283564
1244086563.702000,3.850205,0.581809,1.095071,0.404728,3.812090,3.400932,0.304619,0.206791,0.282732
1244086563.722000,3.980255,0.578638,1.106811,0.403716,3.813881,3.392509,0.309896,0.215063,0.281719
1244086563.742000,4.103686,0.575554,1.118218,0.402625,3.815647,3.384270,0.315334,0.222807,0.281010
1244086563.762000,4.221169,0.572558,1.129323,0.401598,3.817273,3.376205,0.320101,0.230130,0.280006
1244086563.782000,4.333267,0.569647,1.140131,0.400583,3.818926,3.368340,0.325496,0.237319,0.279334
1244086563.802000,4.440465,0.566822,1.150670,0.399507,3.820495,3.360615,0.330028,0.244147,0.278490
1244086563.822000,4.543156,0.564078,1.160939,0.398452,3.822114,3.353070,0.334766,0.250655,0.277789
1244086563.842000,4.641724,0.561418,1.170962,0.397481,3.823666,3.345682,0.338930,0.256968,0.277084
1244086563.862000,4.736483,0.558842,1.180756,0.396598,3.825103,3.338417,0.343258,0.262959,0.276485
1244086563.882000,4.827713,0.556351,1.190337,0.395794,3.826458,3.331301,0.346870,0.268790,0.275863
1244086563.902000,4.915660,0.553945,1.199712,0.395080,3.827764,3.324314,0.350626,0.274230,0.275475
1244086563.922000,5.000531,0.551616,1.208894,0.394355,3.829039,3.317473,0.353995,0.279568,0.274939
1244086563.942000,5.082542,0.549371,1.217888,0.393581,3.830269,3.310758,0.357254,0.284722,0.274781
1244086563.962000,5.161872,0.547209,1.226709,0.392806,3.831477,3.304157,0.360213,0.289750,0.274284
1244086563.982000,5.238683,0.545131,1.235362,0.392103,3.832691,3.297702,0.363214,0.294727,0.274080
1244086564.002000,5.313123,0.543139,1.243858,0.391470,3.833861,3.291334,0.365729,0.299454,0.273640
1244086564.022000,5.385313,0.541217,1.252198,0.390823,3.835048,3.285282,0.367379,0.305240,0.273337
1244086564.042000,5.455378,0.539367,1.260382,0.390067,3.836240,3.279756,0.368911,0.310609,0.272918
1244086564.062000,5.523420,0.537607,1.268431,0.389302,3.837296,3.274294,0.370099,0.315770,0.272531
1244086564.082000,5.589542,0.535937,1.276346,0.388516,3.838349,3.268922,0.371006,0.320531,0.272266
1244086564.102000,5.653828,0.534357,1.284145,0.387717,3.839302,3.263622,0.371196,0.325062,0.271899
1244086564.122000,5.716354,0.532858,1.291831,0.386868,3.840250,3.258411,0.370924,0.329017,0.271655
1244086564.142000,5.777176,0.531448,1.299423,0.386032,3.841124,3.253316,0.369971,0.332760,0.271572
1244086564.162000,5.836349,0.530129,1.306926,0.385226,3.841948,3.248299,0.368741,0.335935,0.271323
1244086564.182000,5.893933,0.528902,1.314342,0.384457,3.842760,3.243364,0.367277,0.339185,0.271437
1244086564.202000,5.949978,0.527767,1.321696,0.383692,3.843421,3.238521,0.365653,0.341851,0.271244
1244086564.222000,6.004555,0.526713,1.328975,0.382890,3.844114,3.233754,0.364001,0.344614,0.271301
1244086564.242000,6.057704,0.525752,1.336201,0.382092,3.844687,3.229055,0.362357,0.346935,0.270970
1244086564.262000,6.109486,0.524883,1.343363,0.381352,3.845293,3.224461,0.360730,0.349552,0.270894
1244086564.282000,6.159957,0.524104,1.350477,0.380636,3.845794,3.219970,0.359130,0.351806,0.270562
1244086564.302000,6.209175,0.523415,1.357532,0.379987,3.846360,3.215545,0.357554,0.354218,0.270270
1244086564.322000,6.257206,0.522804,1.364529,0.379395,3.846935,3.211205,0.356026,0.356406,0.270041
1244086564.342000,6.304097,0.522279,1.371469,0.378824,3.847520,3.206967,0.354577,0.358813,0.269718
1244086564.362000,6.349906,0.521841,1.378340,0.378234,3.848218,3.202805,0.353257,0.361058,0.269405
1244086564.382000,6.394680,0.521488,1.385143,0.377688,3.848900,3.198718,0.352044,0.363484,0.269094
1244086564.402000,6.438471,0.521220,1.391866,0.377164,3.849653,3.194702,0.350937,0.365657,0.268672
1244086564.422000,6.481324,0.521026,1.398495,0.376652,3.850518,3.190712,0.350019,0.368068,0.268401
1244086564.442000,6.523282,0.520918,1.405036,0.376180,3.851448,3.186770,0.349177,0.370320,0.267933
1244086564.462000,6.564383,0.520896,1.411480,0.375749,3.852464,3.182888,0.348352,0.372738,0.267729
1244086564.482000,6.604657,0.520963,1.417828,0.375320,3.853549,3.179049,0.347554,0.374859,0.267266
1244086564.502000,6.644135,0.521117,1.424071,0.374888,3.854743,3.175251,0.346775,0.377227,0.267119
1244086564.522000,6.682837,0.521346,1.430224,0.374510,3.855850,3.171511,0.345917,0.379320,0.266761
1244086564.542000,6.720793,0.521661,1.436283,0.374123,3.856970,3.167853,0.344993,0.381548,0.266622
1244086564.562000,6.758022,0.522065,1.442256,0.373703,3.858059,3.164250,0.344045,0.383585,0.266374
1244086564.582000,6.794544,0.522554,1.448152,0.373240,3.859093,3.160703,0.342984,0.385724,0.266244
1244086564.602000,6.830379,0.523129,1.453971,0.372753,3.860100,3.157197,0.341933,0.387622,0.266163
1244086564.622000,6.865542,0.523771,1.459723,0.372215,3.861050,3.153739,0.340840,0.389593,0.266023
1244086564.642000,6.900057,0.524495,1.465402,0.371655,3.862025,3.150329,0.339774,0.391387,0.266071
1244086564.662000,6.933942,0.525301,1.471025,0.371125,3.862831,3.146985,0.338684,0.393243,0.265917
1244086564.682000,6.967218,0.526186,1.476583,0.370586,3.863670,3.143701,0.337648,0.394891,0.265816
1244086564.702000,6.999902,0.527149,1.482086,0.370018,3.864431,3.140442,0.336633,0.396680,0.265745
1244086564.722000,7.032011,0.528175,1.487534,0.369465,3.865152,3.137203,0.335661,0.398214,0.265508
1244086564.742000,7.063568,0.529279,1.492926,0.368939,3.865825,3.134014,0.334778,0.399971,0.265456
1244086564.762000,7.094591,0.530462,1.498270,0.368449,3.866444,3.130878,0.333925,0.401463,0.265113
1244086564.782000,7.125100,0.531719,1.503557,0.367963,3.867139,3.127813,0.333125,0.403189,0.265032
1244086564.802000,7.155110,0.533054,1.508795,0.367499,3.867782,3.124794,0.332361,0.404721,0.264658
1244086564.822000,7.184638,0.534465,1.513979,0.367056,3.868497,3.121840,0.331638,0.406404,0.264409
1244086564.842000,7.213691,0.535931,1.519113,0.366619,3.869207,3.118946,0.330914,0.407964,0.264144
1244086564.862000,7.242288,0.537472,1.524201,0.366176,3.869895,3.116090,0.330166,0.409536,0.263826
1244086564.882000,7.270442,0.539085,1.529241,0.365740,3.870609,3.113294,0.329454,0.411041,0.263668
1244086564.902000,7.298161,0.540770,1.534241,0.365311,3.871256,3.110537,0.328685,0.412591,0.263434
1244086564.922000,7.325458,0.542526,1.539198,0.364879,3.871912,3.107820,0.327922,0.413922,0.263262
1244086564.942000,7.352333,0.544335,1.544120,0.364515,3.872470,3.105116,0.327131,0.415410,0.263137
1244086564.962000,7.378805,0.546215,1.549004,0.364141,3.873051,3.102455,0.326326,0.416649,0.262935
1244086564.982000,7.404883,0.548163,1.553847,0.363784,3.873645,3.099810,0.325516,0.418111,0.262969
1244086565.002000,7.430577,0.550179,1.558658,0.363421,3.874223,3.097212,0.324711,0.419392,0.262748
1244086565.022000,7.455895,0.552276,1.563434,0.363079,3.874796,3.094516,0.323949,0.420205,0.262479
1244086565.042000,7.480839,0.554437,1.568168,0.362818,3.875340,3.091610,0.323181,0.421049,0.262125
1244086565.062000,7.505429,0.556655,1.572857,0.362554,3.875949,3.088731,0.322460,0.421738,0.261699
1244086565.082000,7.529674,0.558926,1.577501,0.362325,3.876578,3.085890,0.321765,0.422621,0.261384
1244086565.102000,7.553583,0.561250,1.582107,0.362066,3.877169,3.083082,0.321082,0.423293,0.260901
1244086565.122000,7.577167,0.563625,1.586664,0.361791,3.877804,3.080310,0.320467,0.424121,0.260567
1244086565.142000,7.600426,0.566029,1.591183,0.361519,3.878380,3.077565,0.319851,0.424790,0.260059
1244086565.162000,7.623376,0.568483,1.595658,0.361221,3.878962,3.074847,0.319251,0.425561,0.259715
1244086565.182000,7.646023,0.570988,1.600096,0.360952,3.879524,3.072156,0.318654,0.426228,0.259300
1244086565.202000,7.668375,0.573542,1.604496,0.360653,3.880084,3.069474,0.318073,0.426986,0.258906
1244086565.222000,7.690439,0.576145,1.608862,0.360351,3.880609,3.066817,0.317490,0.427671,0.258621
1244086565.242000,7.712212,0.578775,1.613195,0.360049,3.881116,3.064181,0.316891,0.428390,0.258226
1244086565.262000,7.733710,0.581451,1.617495,0.359708,3.881637,3.061594,0.316304,0.429050,0.257937
1244086565.282000,7.754937,0.584174,1.621769,0.359373,3.882102,3.059044,0.315695,0.429797,0.257587
1244086565.302000,7.775900,0.586942,1.626011,0.358995,3.882614,3.056538,0.315088,0.430410,0.257254
1244086565.322000,7.796597,0.589732,1.630222,0.358624,3.883116,3.054055,0.314495,0.431167,0.256934
1244086565.342000,7.817041,0.592567,1.634404,0.358239,3.883622,3.051605,0.313899,0.431749,0.256567
1244086565.362000,7.837240,0.595444,1.638553,0.357865,3.884165,3.049200,0.313322,0.432485,0.256365
1244086565.382000,7.857197,0.598366,1.642676,0.357494,3.884655,3.046806,0.312750,0.433047,0.255941
1244086565.402000,7.876920,0.601326,1.646764,0.357111,3.885205,3.044432,0.312217,0.433752,0.255726
1244086565.422000,7.896412,0.604331,1.650826,0.356776,3.885700,3.042074,0.311667,0.434335,0.255355
1244086565.442000,7.915668,0.607352,1.654858,0.356435,3.886217,3.039767,0.311144,0.434989,0.255037
1244086565.462000,7.934706,0.610413,1.658860,0.356105,3.886720,3.037489,0.310621,0.435594,0.254744
1244086565.482000,7.953528,0.613513,1.662837,0.355787,3.887178,3.035242,0.310117,0.436249,0.254400
1244086565.502000,7.972141,0.616654,1.666784,0.355484,3.887670,3.033026,0.309634,0.436831,0.254138
1244086565.522000,7.990548,0.619833,1.670709,0.355182,3.888105,3.030840,0.309139,0.437486,0.253809
1244086565.542000,8.008741,0.623026,1.674606,0.354885,3.888550,3.028679,0.308665,0.438024,0.253563
1244086565.562000,8.026737,0.626256,1.678483,0.354599,3.888948,3.026538,0.308204,0.438655,0.253256
1244086565.582000,8.044540,0.629524,1.682337,0.354294,3.889369,3.024428,0.307743,0.439169,0.252955
1244086565.602000,8.062154,0.632827,1.686168,0.353985,3.889794,3.022330,0.307270,0.439828,0.252727
1244086565.622000,8.079583,0.636164,1.689979,0.353697,3.890193,3.020262,0.306812,0.440314,0.252366
1244086565.642000,8.096818,0.639512,1.693764,0.353392,3.890617,3.018214,0.306372,0.440936,0.252179
1244086565.662000,8.113875,0.642894,1.697531,0.353088,3.890990,3.016179,0.305918,0.441422,0.251836
1244086565.682000,8.130758,0.646310,1.701274,0.352753,3.891387,3.014166,0.305487,0.442009,0.251598
1244086565.702000,8.147471,0.649759,1.704994,0.352420,3.891772,3.012175,0.305053,0.442518,0.251266
1244086565.722000,8.164016,0.653239,1.708693,0.352068,3.892154,3.010204,0.304618,0.443086,0.250973
1244086565.742000,8.180384,0.656728,1.712367,0.351743,3.892570,3.008254,0.304193,0.443565,0.250695
1244086565.762000,8.196592,0.660248,1.716020,0.351444,3.892990,3.006328,0.303787,0.444112,0.250366
1244086565.782000,8.212643,0.663799,1.719650,0.351146,3.893425,3.004414,0.303377,0.444604,0.250115
1244086565.802000,8.228539,0.667380,1.723261,0.350853,3.893819,3.002500,0.302974,0.445150,0.249801
1244086565.822000,8.244284,0.670990,1.726851,0.350558,3.894260,3.000602,0.302584,0.445593,0.249481
1244086565.842000,8.259867,0.674604,1.730420,0.350307,3.894698,2.998721,0.302198,0.446145,0.249222
1244086565.862000,8.275304,0.678247,1.733973,0.350040,3.895132,2.996850,0.301815,0.446566,0.248887
1244086565.882000,8.290599,0.681916,1.737506,0.349763,3.895545,2.995001,0.301440,0.447120,0.248650
1244086565.902000,8.305752,0.685614,1.741023,0.349494,3.895937,2.993160,0.301031,0.447537,0.248317
1244086565.922000,8.320767,0.689337,1.744520,0.349237,3.896328,2.991357,0.300635,0.448060,0.248071
1244086565.942000,8.335631,0.693062,1.748000,0.349003,3.896722,2.989567,0.300232,0.448489,0.247758
1244086565.962000,8.350361,0.696814,1.751464,0.348754,3.897110,2.987786,0.299826,0.448967,0.247486
1244086565.982000,8.364959,0.700590,1.754911,0.348527,3.897485,2.986029,0.299426,0.449406,0.247244
1244086566.002000,8.379426,0.704390,1.758345,0.348271,3.897840,2.984280,0.299055,0.449839,0.246954
1244086566.022000,8.393766,0.708212,1.761771,0.348000,3.898108,2.982570,0.298988,0.450307,0.246852
1244086566.042000,8.407961,0.712023,1.765217,0.347791,3.897983,2.980866,0.298718,0.450831,0.246708
1244086566.062000,8.422039,0.715858,1.768654,0.347563,3.897871,2.979183,0.298473,0.451266,0.246597
1244086566.082000,8.436000,0.719715,1.772081,0.347330,3.897787,2.977522,0.298234,0.451806,0.246534
1244086566.102000,8.449847,0.723597,1.775498,0.347104,3.897702,2.975868,0.297978,0.452255,0.246477
1244086566.122000,8.463581,0.727502,1.778909,0.346877,3.897600,2.974226,0.297723,0.452693,0.246356
1244086566.142000,8.477188,0.731401,1.782310,0.346636,3.897512,2.972608,0.297453,0.453138,0.246339
1244086566.162000,8.490686,0.735324,1.785703,0.346407,3.897426,2.971009,0.297163,0.453565,0.246230
1244086566.182000,8.504075,0.739272,1.789089,0.346197,3.897347,2.969421,0.296887,0.453954,0.246192
1244086566.202000,8.517357,0.743241,1.792467,0.346000,3.897294,2.967840,0.296595,0.454394,0.246069
1244086566.222000,8.530535,0.747230,1.795838,0.345821,3.897240,2.966315,0.296289,0.454810,0.246038
1244086566.242000,8.543591,0.751213,1.799203,0.345644,3.897156,2.964805,0.295983,0.455208,0.245890
1244086566.262000,8.556545,0.755217,1.802557,0.345467,3.897111,2.963322,0.295658,0.455567,0.245811
1244086566.282000,8.569396,0.759240,1.805906,0.345262,3.897058,2.961843,0.295300,0.455951,0.245681
1244086566.302000,8.582146,0.763283,1.809247,0.345059,3.897016,2.960374,0.294912,0.456281,0.245570
1244086566.322000,8.594795,0.767346,1.812582,0.344832,3.896978,2.958913,0.294515,0.456621,0.245443
1244086566.342000,8.607322,0.771402,1.815911,0.344604,3.896903,2.957465,0.294086,0.456913,0.245348
1244086566.362000,8.619748,0.775478,1.819238,0.344376,3.896779,2.956013,0.293610,0.457206,0.245136
1244086566.382000,8.632073,0.779573,1.822561,0.344151,3.896664,2.954573,0.293109,0.457465,0.244991
1244086566.402000,8.644296,0.783686,1.825882,0.343920,3.896548,2.953165,0.292619,0.457734,0.244879
1244086566.422000,8.656418,0.787818,1.829204,0.343696,3.896392,2.951767,0.292115,0.457953,0.244761
1244086566.442000,8.668417,0.791941,1.832525,0.343461,3.896255,2.950371,0.291579,0.458204,0.244584
1244086566.462000,8.680319,0.796082,1.835841,0.343240,3.896156,2.949002,0.291045,0.458435,0.244503
1244086566.482000,8.692125,0.800242,1.839154,0.343012,3.896076,2.947626,0.290539,0.458685,0.244392
1244086566.502000,8.703835,0.804420,1.842466,0.342797,3.895973,2.946260,0.290055,0.458893,0.244363
1244086566.522000,8.715454,0.808613,1.845774,0.342568,3.895876,2.944929,0.289541,0.459134,0.244279
1244086566.542000,8.726951,0.812796,1.849072,0.342332,3.895852,2.943592,0.289035,0.459337,0.244214
1244086566.562000,8.738360,0.816995,1.852363,0.342079,3.895847,2.942265,0.288544,0.459569,0.244121
1244086566.582000,8.749681,0.821211,1.855647,0.341829,3.895847,2.940950,0.288050,0.459745,0.244094
1244086566.602000,8.760915,0.825441,1.858922,0.341594,3.895865,2.939654,0.287553,0.459946,0.243943
1244086566.622000,8.772066,0.829687,1.862185,0.341354,3.895925,2.938367,0.287048,0.460131,0.243809
1244086566.642000,8.783093,0.833918,1.865437,0.341111,3.895988,2.937103,0.286555,0.460338,0.243658
1244086566.662000,8.794038,0.838164,1.868678,0.340871,3.896038,2.935847,0.286076,0.460499,0.243550
1244086566.682000,8.804901,0.842426,1.871911,0.340623,3.896068,2.934587,0.285597,0.460669,0.243395
1244086566.702000,8.815685,0.846703,1.875133,0.340369,3.896107,2.933324,0.285104,0.460825,0.243272
1244086566.722000,8.826389,0.850993,1.878346,0.340124,3.896132,2.932071,0.284601,0.460993,0.243052
1244086566.742000,8.836990,0.855270,1.881547,0.339903,3.896185,2.930827,0.284131,0.461123,0.242917
1244086566.762000,8.847515,0.859561,1.884738,0.339697,3.896235,2.929598,0.283668,0.461281,0.242777
1244086566.782000,8.857965,0.863866,1.887921,0.339475,3.896277,2.928365,0.283207,0.461397,0.242673
1244086566.802000,8.868341,0.868184,1.891093,0.339212,3.896355,2.927134,0.282738,0.461569,0.242509
1244086566.822000,8.878644,0.872516,1.894253,0.338962,3.896443,2.925908,0.282271,0.461733,0.242391
1244086566.842000,8.888859,0.876832,1.897399,0.338722,3.896534,2.924708,0.281825,0.461912,0.242213
1244086566.862000,8.899002,0.881159,1.900535,0.338452,3.896605,2.923525,0.281389,0.462046,0.242059
1244086566.882000,8.909077,0.885498,1.903661,0.338171,3.896662,2.922351,0.280943,0.462204,0.241862
1244086566.902000,8.919085,0.889847,1.906773,0.337872,3.896732,2.921204,0.280520,0.462343,0.241686
1244086566.922000,8.929026,0.894207,1.909875,0.337585,3.896788,2.920071,0.280114,0.462498,0.241510
1244086566.942000,8.938902,0.898579,1.912967,0.337299,3.896829,2.918943,0.279718,0.462602,0.241409
1244086566.962000,8.948698,0.902934,1.916047,0.337059,3.896886,2.917834,0.279332,0.462719,0.241248
1244086566.982000,8.958431,0.907301,1.919117,0.336812,3.896938,2.916722,0.278942,0.462807,0.241087
1244086567.002000,8.968101,0.911679,1.922176,0.336590,3.896982,2.915616,0.278552,0.462918,0.240889
1244086567.022000,8.977712,0.916067,1.925224,0.336349,3.897048,2.914518,0.278095,0.462926,0.240699
1244086567.042000,8.987242,0.920435,1.928260,0.336078,3.897127,2.913428,0.277668,0.462991,0.240472
1244086567.062000,8.996709,0.924811,1.931284,0.335785,3.897195,2.912352,0.277224,0.463056,0.240224
1244086567.082000,9.006116,0.929198,1.934296,0.335499,3.897266,2.911287,0.276794,0.463172,0.239975
1244086567.102000,9.015463,0.933595,1.937295,0.335238,3.897344,2.910233,0.276358,0.463274,0.239695
1244086567.122000,9.024751,0.938001,1.940281,0.334995,3.897424,2.909202,0.275950,0.463395,0.239470
1244086567.142000,9.033981,0.942416,1.943255,0.334750,3.897486,2.908176,0.275522,0.463469,0.239234
1244086567.162000,9.043138,0.946810,1.946217,0.334499,3.897537,2.907163,0.275123,0.463540,0.238974
1244086567.182000,9.052240,0.951211,1.949165,0.334219,3.897611,2.906143,0.274698,0.463588,0.238724
1244086567.202000,9.061285,0.955619,1.952102,0.333922,3.897680,2.905117,0.274306,0.463662,0.238492
1244086567.222000,9.070275,0.960034,1.955031,0.333618,3.897724,2.904104,0.273900,0.463696,0.238236
1244086567.242000,9.079196,0.964430,1.957946,0.333351,3.897766,2.903090,0.273509,0.463766,0.238016
1244086567.262000,9.088063,0.968835,1.960852,0.333085,3.897801,2.902090,0.273100,0.463799,0.237768
1244086567.282000,9.096876,0.973249,1.963746,0.332822,3.897827,2.901094,0.272704,0.463868,0.237497
